author,date,exam,file-name,file-path,file-type,last_updated,status,subject,type,url,year
Bhushan Khairkar,,,20251008_215428320,Documents/Bhushan Khairkar/Papers/20251008_215428320.jpg,jpg,2025-10-12T19:52:13.681839,False,,Papers,,20251008_215428320.jpg
Bhushan Khairkar,,,ACFSS_ESE,Documents/Bhushan Khairkar/Papers/ACFSS_ESE.jpg,jpg,2025-10-12T19:52:13.681873,False,,Papers,,ACFSS_ESE.jpg
Bhushan Khairkar,,,ACFSS_ESE_b,Documents/Bhushan Khairkar/Papers/ACFSS_ESE_b.jpg,jpg,2025-10-12T19:52:13.681905,False,,Papers,,ACFSS_ESE_b.jpg
Bhushan Khairkar,,,ACFSS_MT1B,Documents/Bhushan Khairkar/Papers/ACFSS_MT1B.jpg,jpg,2025-10-12T19:52:13.681937,False,,Papers,,ACFSS_MT1B.jpg
Bhushan Khairkar,,,ACFSS_MT1_b,Documents/Bhushan Khairkar/Papers/ACFSS_MT1_b.jpg,jpg,2025-10-12T19:52:13.681971,False,,Papers,,ACFSS_MT1_b.jpg
Bhushan Khairkar,,,ACFSS_MT2,Documents/Bhushan Khairkar/Papers/ACFSS_MT2.jpg,jpg,2025-10-12T19:52:13.682003,False,,Papers,,ACFSS_MT2.jpg
Bhushan Khairkar,,,ACFSS_MT2_b,Documents/Bhushan Khairkar/Papers/ACFSS_MT2_b.jpg,jpg,2025-10-12T19:52:13.682035,False,,Papers,,ACFSS_MT2_b.jpg
Bhushan Khairkar,,,AC_ESE,Documents/Bhushan Khairkar/Papers/AC_ESE.jpg,jpg,2025-10-12T19:52:13.682068,False,,Papers,,AC_ESE.jpg
Bhushan Khairkar,,,AC_ESE_b,Documents/Bhushan Khairkar/Papers/AC_ESE_b.jpg,jpg,2025-10-12T19:52:13.682099,False,,Papers,,AC_ESE_b.jpg
Bhushan Khairkar,,,AC_MT1,Documents/Bhushan Khairkar/Papers/AC_MT1.jpg,jpg,2025-10-12T19:52:13.682132,False,,Papers,,AC_MT1.jpg
Bhushan Khairkar,,,AC_MT2,Documents/Bhushan Khairkar/Papers/AC_MT2.jpg,jpg,2025-10-12T19:52:13.682168,False,,Papers,,AC_MT2.jpg
Bhushan Khairkar,,,APC_ESE,Documents/Bhushan Khairkar/Papers/APC_ESE.jpg,jpg,2025-10-12T19:52:13.682202,False,,Papers,,APC_ESE.jpg
Bhushan Khairkar,,,APC_ESEB,Documents/Bhushan Khairkar/Papers/APC_ESEB.jpg,jpg,2025-10-12T19:52:13.682234,False,,Papers,,APC_ESEB.jpg
Bhushan Khairkar,,,APC_MT1,Documents/Bhushan Khairkar/Papers/APC_MT1.jpg,jpg,2025-10-12T19:52:13.682269,False,,Papers,,APC_MT1.jpg
